band0,rock_types
164.0,1.0
134.0,0.0
128.0,0.0
120.0,0.0
128.0,0.0
164.0,0.0
120.0,0.0
141.0,0.0
108.0,0.0
133.0,0.0
184.0,1.0
146.0,0.0
154.0,0.0
180.0,1.0
125.0,0.0
108.0,0.0
175.0,1.0
131.0,0.0
125.0,0.0
123.0,0.0
179.0,1.0
131.0,0.0
169.0,0.0
154.0,0.0
151.0,0.0
131.0,0.0
128.0,0.0
151.0,0.0
138.0,0.0
143.0,0.0
179.0,0.0
174.0,1.0
126.0,0.0
171.0,0.0
154.0,0.0
151.0,1.0
181.0,1.0
153.0,1.0
143.0,0.0
123.0,0.0
182.0,1.0
148.0,0.0
121.0,0.0
128.0,0.0
121.0,0.0
164.0,0.0
118.0,0.0
118.0,0.0
166.0,1.0
134.0,0.0
133.0,0.0
146.0,0.0
156.0,0.0
156.0,1.0
171.0,1.0
154.0,0.0
172.0,0.0
184.0,1.0
146.0,0.0
154.0,0.0
133.0,0.0
167.0,1.0
149.0,0.0
125.0,0.0
169.0,1.0
136.0,0.0
118.0,0.0
120.0,0.0
156.0,0.0
118.0,0.0
159.0,0.0
118.0,0.0
146.0,0.0
136.0,0.0
184.0,1.0
146.0,0.0
146.0,0.0
144.0,0.0
164.0,1.0
144.0,0.0
108.0,0.0
113.0,0.0
123.0,0.0
138.0,0.0
144.0,0.0
130.0,0.0
130.0,0.0
179.0,1.0
174.0,0.0
151.0,1.0
136.0,0.0
131.0,0.0
151.0,0.0
125.0,0.0
146.0,0.0
182.0,1.0
199.0,1.0
192.0,1.0
156.0,0.0
169.0,1.0
164.0,0.0
154.0,0.0
169.0,0.0
121.0,0.0
209.0,1.0
110.0,0.0
169.0,1.0
148.0,0.0
131.0,0.0
194.0,1.0
131.0,0.0
176.0,1.0
133.0,0.0
156.0,0.0
141.0,0.0
141.0,0.0
166.0,1.0
149.0,0.0
202.0,1.0
136.0,0.0
167.0,1.0
136.0,0.0
174.0,1.0
192.0,1.0
172.0,1.0
113.0,0.0
138.0,0.0
156.0,1.0
131.0,0.0
159.0,0.0
108.0,0.0
164.0,1.0
181.0,1.0
167.0,1.0
153.0,0.0
177.0,1.0
166.0,1.0
148.0,0.0
159.0,0.0
176.0,1.0
146.0,0.0
154.0,1.0
156.0,0.0
222.0,1.0
128.0,0.0
118.0,0.0
183.0,1.0
139.0,0.0
139.0,0.0
123.0,0.0
151.0,0.0
108.0,0.0
186.0,0.0
138.0,0.0
138.0,0.0
136.0,0.0
179.0,1.0
181.0,1.0
141.0,0.0
194.0,0.0
166.0,0.0
131.0,0.0
169.0,0.0
154.0,0.0
166.0,1.0
123.0,0.0
153.0,0.0
194.0,1.0
171.0,1.0
154.0,0.0
174.0,1.0
141.0,0.0
161.0,0.0
154.0,1.0
134.0,0.0
170.0,1.0
133.0,0.0
128.0,0.0
169.0,1.0
209.0,1.0
189.0,1.0
141.0,0.0
136.0,0.0
182.0,1.0
181.0,1.0
121.0,0.0
186.0,1.0
146.0,0.0
141.0,0.0
144.0,0.0
169.0,0.0
126.0,0.0
169.0,1.0
125.0,0.0
179.0,1.0
159.0,0.0
144.0,0.0
139.0,0.0
146.0,0.0
141.0,0.0
146.0,1.0
115.0,0.0
128.0,0.0
207.0,1.0
128.0,0.0
151.0,0.0
156.0,0.0
120.0,0.0
136.0,0.0
151.0,0.0
151.0,1.0
149.0,0.0
113.0,0.0
131.0,0.0
149.0,0.0
166.0,0.0
199.0,1.0
133.0,0.0
125.0,0.0
154.0,0.0
136.0,0.0
156.0,0.0
144.0,0.0
133.0,0.0
151.0,0.0
151.0,0.0
176.0,1.0
108.0,0.0
143.0,0.0
136.0,0.0
136.0,0.0
164.0,1.0
133.0,0.0
154.0,0.0
176.0,1.0
151.0,0.0
202.0,1.0
164.0,1.0
138.0,0.0
167.0,0.0
144.0,0.0
152.0,1.0
141.0,0.0
156.0,0.0
149.0,0.0
151.0,0.0
123.0,0.0
174.0,0.0
189.0,1.0
107.0,0.0
187.0,1.0
174.0,1.0
174.0,1.0
136.0,0.0
120.0,0.0
115.0,0.0
113.0,0.0
146.0,0.0
121.0,0.0
164.0,0.0
162.0,0.0
113.0,0.0
125.0,0.0
159.0,0.0
174.0,1.0
151.0,0.0
146.0,0.0
146.0,0.0
164.0,0.0
174.0,1.0
144.0,0.0
126.0,0.0
126.0,0.0
151.0,0.0
126.0,0.0
162.0,0.0
110.0,0.0
146.0,0.0
202.0,1.0
123.0,0.0
164.0,0.0
141.0,0.0
159.0,0.0
182.0,1.0
135.0,1.0
139.0,1.0
130.0,1.0
141.0,1.0
149.0,1.0
134.0,1.0
221.0,1.0
213.0,1.0
216.0,1.0
220.0,1.0
206.0,1.0
203.0,1.0
190.0,1.0
227.0,1.0
198.0,1.0
212.0,1.0
224.0,1.0
215.0,1.0
226.0,1.0
218.0,1.0
192.0,1.0
191.0,1.0
210.0,1.0
214.0,1.0
225.0,1.0
205.0,1.0
223.0,1.0
217.0,1.0
194.0,1.0
197.0,1.0
211.0,1.0
200.0,1.0
219.0,1.0
208.0,1.0
199.0,1.0
195.0,1.0
